Original Text,Initial,Machine translation,Better translation,Best translation
"\F[alice_depressed]\AA[N]The way that you view it, with regards to insanity, you're the same as most people.",,"\F[alice_depressed]\AA[N]Do jeito que você vê as coisas, no que diz respeito à insanidade, você é igual à maioria das pessoas.",,
\F[alice_depressed]\AA[N]People go to university expecting to outshine their peers...,,\F[alice_depressed]\AA[N]As pessoas vão para a universidade esperando ofuscar seus colegas...,,
\F[alice_depressed]\AA[N]Even if they're reusing the same study habits from high school.,,\F[alice_depressed]\AA[N]Emesmo que estejam reutilizando os mesmos hábitos de estudo do ensino médio.,,
"\F[alice_depressed]\AA[N]People go to work every single day, doing random stuff for an apathetic boss...",,"\F[alice_depressed]\AA[N]As pessoas vão trabalhar todos os dias, fazendo coisas aleatórias para um chefe apático...",,
"\F[alice_depressed]\AA[N]Expecting that out of all of the other employees, they'll be the ones to get rich.",,"\F[alice_depressed]\AA[N]Esperando que, de todos os outros funcionários, sejam eles os que ficarão ricos.",,
\F[alice_depressed]\AA[N]It's all the same to you.,,\F[alice_depressed]\AA[N]É tudo igual para você.,,
\F[alice_depressed]\AA[N]Except for the fact that society doesn't consider what you do to be productive.,,\F[alice_depressed]\AA[N]E Exceto pelo fato de que a sociedade não considera produtivo o que você faz.,,
\F[alice_depressed]\AA[N]...,,\F[alice_depressed]\AA[N]...,,
\F[alice_depressed]\AA[N]...You do miss blissful ignorance.,,\F[alice_depressed]\AA[N]...Você sente falta da feliz ignorância.,,
\F[alice_depressed]\AA[N]You hate being able to see the systems for what they are.,,\F[alice_depressed]\AA[N]Você odeia poder ver os sistemas como eles são.,,
\F[alice_depressed]\AA[N]You hate how you can't just go along with it like everyone else.,,\F[alice_depressed]\AA[N]Você odeia como não pode simplesmente concordar com isso como todo mundo.,,
\F[alice_no]\AA[F]...Even though it all is the same... the difference is that those people are happy...,,\F[alice_no]\AA[F]...Mesmo sendo tudo igual... a diferença é que essas pessoas são felizes...,,
\F[alice_depressed]\AA[F]While I'm not.,,\F[alice_depressed]\AA[F]Enquanto não estou.,,
\F[alice_no]\AA[F]\..\..\..,,\F[alice_no]\AA[F]\..\..\..,,
"\F[alice_no]\AA[N]Awwwww, don't be such a Debbie-downer!",,"\F[alice_no]\AA[N]Awwww, não seja tão deprimente com Debbie!",,
\F[alice_no]\AA[N]Maybe you should watch some TV to return to your usual state of apathy!,,\F[alice_no]\AA[N]Talvez você devesse assistir um pouco de TV para voltar ao seu estado habitual de apatia!,,
Hm... this plant looks different from yesterday.,,Hm... esta planta parece diferente de ontem.,,
Smells different too.,,Cheira diferente também.,,
...You think that this might be the source of that decaying odor.,,...Você acha que esta pode ser a fonte daquele odor podre.,,
"Wouldn't make much sense, though. How could a plant be growing and decaying?",,"Não faria muito sentido, no entanto.Como uma planta poderia estar crescendo e se deteriorando?",,
The scent of rot overpowers you.,,O cheiro de podridão domina você.,,
rot_2,,rot_2,,
"Huh, looks that that plant brought a little buddy.",,"Hã, parece que aquela planta trouxe um amiguinho.",,
You wonder what this plant is feeding off of to grow so quickly.,,Você se pergunta do que esta planta está se alimentando para crescer tão rapidamente.,,
WallCrack,,Parede rachada,,
"You used to care about that crack in the wall, but now it's just decoration.",,"Você costumava se preocupar com aquela rachadura na parede, mas agora é só decoração.",,
...Another one?,,...Outro?,,
"<Hitbox Up: 1><Hitbox Right: 1><Click Trigger><Sprite Offset: +16, +4>",,,,
"---Alice realizes how pointless everything is---
BEAT 5",,"---Alice percebe o quanto tudo é inútil---
BATIDA 5",,
It's close to blocking off the exit.,,Está perto de bloquear a saída.,,
\F[alice_no]\AA[F]...It's not like it matters.,,\F[alice_no]\AA[F]...Não é como se isso importasse.,,
\F[alice_downturned]\AA[F]I was never going to leave in the first place.,,"\F[alice_downturned]\AA[F]Em primeiro lugar, eu nunca iria embora.",,
\F[alice_downturned]\AA[N]Quite the thought of despair here.,,\F[alice_downturned]\AA[N]É bastante desespero aqui.,,
\F[alice_downturned]\AA[N]But it's true: There's nothing out there for you.,,\F[alice_downturned]\AA[N]Mas é verdade: não há nada para você.,,
\F[alice_downturned]\AA[N]You're sure that no one in your family cares.,,\F[alice_downturned]\AA[N]Você tem certeza de que ninguém em sua família se importa.,,
"\F[alice_downturned]\AA[N]You're sure that even if you finally did go out, you'd be miserable.",,"\F[alice_downturned]\AA[N]Você tem certeza de que, mesmo que finalmente saísse, ficaria infeliz.",,
"\F[alice_downturned]\AA[N]Hell, the one person you remember being kind to you wound up dead. What does that mean?",,"\F[alice_downturned]\AA[N]Inferno, a única pessoa que você lembra de ter sido gentil com você acabou morta.O que isso significa?",,
\F[alice_downturned]\AA[N]Does it mean that you have to resort to assholery if you want to live?,,\F[alice_downturned]\AA[N]Isso significa que você terá que recorrer à astúcia se quiser viver?,,
"\F[alice_downturned]\AA[N]...The worst part of it all is that even after thinking about it, you don't know the root of your issues.",,"\F[alice_downturned]\AA[N]...A pior parte de tudo é que mesmo depois de pensar sobre isso, você não sabe a raiz dos seus problemas.",,
\F[alice_downturned]\AA[N]Maybe it was a bunch of small things snowballing up to something massive.,,\F[alice_downturned]\AA[N]Talvez tenha sido um monte de pequenas coisas se transformando em algo enorme.,,
\F[alice_downturned]\AA[N]But you can't even figure out the smaller things.,,\F[alice_downturned]\AA[N]Mas você não consegue nem descobrir as coisas menores.,,
You fall back asleep.,,Você volta a dormir.,,
"For a long, long time.",,"Por muito, muito tempo.",,
"And again, it's dreamless.",,"E, novamente, não há sonhos.",,
...You've come to realize that maybe you don't dream because your mind itself is a prison.,,...Você percebeu que talvez não sonhe porque sua própria mente é uma prisão.,,
\..\..\..,,\..\..\..,,
\..\..\..\..\..,,\..\..\..\..\..,,
It smells like blood and guts are spread around the room.,,Cheira a sangue e tripas espalhadas pela sala.,,
"---Ending---
BEAT FINAL!!!!",,"---Finalizando---
BATA FINAL!!!!",,
The exit's blocked.,,A saída está bloqueada.,,
You're too late.,,Você está muito atrasado.,,
The vines... rot... guts? ,,As vinhas... apodrecem... tripas?,,
The substance stays wrapped around you.,,A substância permanece enrolada em você.,,
You don't try to fight it.,,Você não tenta lutar contra isso.,,
"You want to scream, but you're too tired.",,"Você quer gritar, mas está muito cansado.",,
"The strange tentacles poke through you, stitching you straight to the bed.",,"Os estranhos tentáculos cutucam você, te prendendo direto na cama.",,
You never intended to leave in the first place.,,Você nunca teve a intenção de partir em primeiro lugar.,,
"Not for a long time, at least.",,"Não por muito tempo, pelo menos.",,
But now that you're truly chained to the bed... you expect to regret it all.,,Mas agora que você está realmente acorrentado à cama... você espera se arrepender de tudo.,,
...You don't.,,...Você não.,,
You had no dreams to live for...,,Você não tinha sonhos pelos quais viver...,,
So your nightmares became your reality.,,Então seus pesadelos se tornaram sua realidade.,,
END: BEDROT,,FIM: CAMA,,
