Original Text,Initial,Machine translation,Better translation,Best translation,Vencedor,Score Annie,Score Online
\F[alice_no]\AA[F]What does it matter that the power's gone? Most of my time is spent sleeping and thinking anyways.,,\F[alice_no]\AA[F]O que importa se a energia acabou?Passo a maior parte do tempo dormindo e pensando de qualquer maneira.,,\F[alice_no]\AA[F]O que importa se a energia acabou?Passo a maior parte do tempo dormindo e pensando de qualquer maneira.,Online (Annie falhou),0.0,0.665
\F[alice_no]\AA[N]White noise rings in your mind. Your stomach grumbles with hollowness.,,\F[alice_no]\AA[N]Ruído branco ressoa em sua mente.Seu estômago ronca de vazio.,,\F[alice_no]\AA[N]Ruído branco ressoa em sua mente.Seu estômago ronca de vazio.,Online (Annie falhou),0.0,0.611
\F[alice_no]\AA[N]And your eyes just don't want to stay open.,,\F[alice_no]\AA[N]E seus olhos simplesmente não querem ficar abertos.,,\F[alice_no]\AA[N]E seus olhos simplesmente não querem ficar abertos.,Online (Annie falhou),0.0,0.647
"\F[alice_no]\AA[N]Regardless of if you sleep for 3 or 18 hours, your eyes want to stay clamped shut in eternal slumber.",,"\F[alice_no]\AA[N]Independentemente de você dormir 3 ou 18 horas, seus olhos querem permanecer fechados em um sono eterno.",,"\F[alice_no]\AA[N]Independentemente de você dormir 3 ou 18 horas, seus olhos querem permanecer fechados em um sono eterno.",Online (Annie falhou),0.0,0.665
"Your eyes give in, and darkness is all you see.",,Seus olhos cederam e a escuridão é tudo que você vê.,,Seus olhos cederam e a escuridão é tudo que você vê.,Online (Annie falhou),0.0,0.637
"Your other senses are heightened, but even they feel dull.",,"Seus outros sentidos estão aguçados, mas até eles parecem embotados.","Vos outros sentidos están intensificados, mas incluso se senten aborrecidos.","Vos outros sentidos están intensificados, mas incluso se senten aborrecidos.",Annie,0.666,0.66
You know that it smells slightly worse in here than usual. ,,Você sabe que o cheiro aqui é um pouco pior do que o normal.,Sabe que odora un poco peor aquí que de costumbre.,Você sabe que o cheiro aqui é um pouco pior do que o normal.,Online,0.646,0.671
You're used to the stench of mold and rotting wood.,,Você está acostumado com o cheiro de mofo e madeira podre.,Você está acostumbrado al fedor de molde e madeira putrefacta.,Você está acostumado com o cheiro de mofo e madeira podre.,Online,0.65,0.664
But you're beginning to pick up the odor of decaying meat.,,Mas você está começando a sentir o odor de carne em decomposição.,,Mas você está começando a sentir o odor de carne em decomposição.,Online (Annie falhou),0.0,0.666
The flies are gonna love that.,,As moscas vão adorar isso.,,As moscas vão adorar isso.,Online (Annie falhou),0.0,0.604
You wake up from another dreamless night.,,Você acorda de mais uma noite sem sonhos.,Te levantas de otra noche sin sueños.,Te levantas de otra noche sin sueños.,Annie,0.667,0.663
That's good. Nothing to remind you of what you could be missing out on.,,Isso é bom.Nada para lembrá-lo do que você pode estar perdendo.,Nada que te recuerde de lo que podrías estar perdendo.,Isso é bom.Nada para lembrá-lo do que você pode estar perdendo.,Online,0.648,0.651
And... it's night?,,E... é noite?,E... é noite?,E... é noite?,Annie,0.642,0.642
"You either slept for only a few hours, or for an entire day!",,Você dormiu apenas algumas horas ou o dia inteiro!,"O dormiste durante apenas algunas horas, o durante un día entero!","O dormiste durante apenas algunas horas, o durante un día entero!",Annie,0.663,0.653
\F[alice_eyeopen]\AA[F]...I'm probably going to fall right back asleep any minute.,,\F[alice_eyeopen]\AA[F]...Provavelmente vou voltar a dormir a qualquer minuto.,,\F[alice_eyeopen]\AA[F]...Provavelmente vou voltar a dormir a qualquer minuto.,Online (Annie falhou),0.0,0.652
\F[alice_eyeopen]\AA[N]You're starting to wish that you'd stay asleep forever.,,\F[alice_eyeopen]\AA[N]Você está começando a desejar dormir para sempre.,,\F[alice_eyeopen]\AA[N]Você está começando a desejar dormir para sempre.,Online (Annie falhou),0.0,0.663
A very useless TV.,,Uma TV muito inútil.,Una TV muy inútil.,Uma TV muito inútil.,Online,0.682,0.682
Trash bin,,Lixeira,Cesta,Lixeira,Online,0.557,0.586
<Hitbox Right: 1><Click Trigger>,,,<Hitbox Dright: 1><Click Trigger>,<Hitbox Dright: 1><Click Trigger>,Annie (Rival vazio),0.625,0.0
You're so tired most of the time that you can't even bring yourself to put the trash in here.,,Você fica tão cansado a maior parte do tempo que nem consegue colocar o lixo aqui.,,Você fica tão cansado a maior parte do tempo que nem consegue colocar o lixo aqui.,Online (Annie falhou),0.0,0.665
Why do you have a trash bin if you never use it?,,Por que você tem uma lixeira se nunca a usa?,,Por que você tem uma lixeira se nunca a usa?,Online (Annie falhou),0.0,0.669
You can barely smell the rotting trash from here.,,Você mal consegue sentir o cheiro do lixo podre daqui.,,Você mal consegue sentir o cheiro do lixo podre daqui.,Online (Annie falhou),0.0,0.659
Mostly because it blends in with the rest of the odors.,,Principalmente porque se mistura com o resto dos odores.,,Principalmente porque se mistura com o resto dos odores.,Online (Annie falhou),0.0,0.67
Trash,,Lixo,Cesárea,Lixo,Online,0.557,0.592
<Hitbox Right: 4><Hitbox Up: 1><Click Trigger>,,,<Hitbox Dright: 4><Hitbox Up: 1><Click Trigger>,<Hitbox Dright: 4><Hitbox Up: 1><Click Trigger>,Annie (Rival vazio),0.628,0.0
The trash has piled up so much that it almost covers the windows.,,O lixo se acumulou tanto que quase cobre as janelas.,,O lixo se acumulou tanto que quase cobre as janelas.,Online (Annie falhou),0.0,0.629
\F[alice_neutral]\AA[F]I would take out the garbage...,,\F[alice_neutral]\AA[F]Eu levaria o lixo para fora...,,\F[alice_neutral]\AA[F]Eu levaria o lixo para fora...,Online (Annie falhou),0.0,0.63
\F[alice_no]\AA[F]...If I didn't have to go outside.,,\F[alice_no]\AA[F]...Se eu não tivesse que sair.,,\F[alice_no]\AA[F]...Se eu não tivesse que sair.,Online (Annie falhou),0.0,0.643
It's only now that you realize how overpowering the stench is.,,Só agora você percebe o quão insuportável é o fedor.,,Só agora você percebe o quão insuportável é o fedor.,Online (Annie falhou),0.0,0.655
You feel bad for whoever lives on this floor of the dorms.,,Você se sente mal por quem mora neste andar dos dormitórios.,,Você se sente mal por quem mora neste andar dos dormitórios.,Online (Annie falhou),0.0,0.659
But that guilt isn't enough to drag you out.,,Mas essa culpa não é suficiente para arrastá-lo.,,Mas essa culpa não é suficiente para arrastá-lo.,Online (Annie falhou),0.0,0.666
You're surprised that no one's shown up at your door complaining about this.,,Você está surpreso que ninguém tenha aparecido na sua porta reclamando disso.,Você está sorprendido de que nadie haya aparecido a su puerta reclamando de esto.,Você está surpreso que ninguém tenha aparecido na sua porta reclamando disso.,Online,0.679,0.683
"Gone is the foul odor of garbage, replaced by just the scent of your room.",,"O odor desagradável do lixo desapareceu, sendo substituído apenas pelo cheiro do seu quarto.",,"O odor desagradável do lixo desapareceu, sendo substituído apenas pelo cheiro do seu quarto.",Online (Annie falhou),0.0,0.675
flies,,moscas,moscas,moscas,Annie,0.59,0.59
Light,,Luz,Luz,Luz,Annie,0.587,0.587
<Click Trigger>,,,<Click Trigger>,<Click Trigger>,Annie (Rival vazio),0.583,0.0
You used to actually use this for studying.,,Você costumava usar isso para estudar.,Você usaba esto para estudiar.,Você costumava usar isso para estudar.,Online,0.685,0.687
"Now, it just eats up energy you haven't paid for in weeks.",,"Agora, isso apenas consome energia pela qual você não paga há semanas.","Ahora, consume energia que você não paga desde hace semanas.","Agora, isso apenas consome energia pela qual você não paga há semanas.",Online,0.67,0.676
\F[alice_drool]\AA[F]Strange... it's off.,,\F[alice_drool]\AA[F]Estranho... está desligado.,,\F[alice_drool]\AA[F]Estranho... está desligado.,Online (Annie falhou),0.0,0.617
"<Sprite Offset: +0, +8>",,,"<Sprite Offset: +0, +8>","<Sprite Offset: +0, +8>",Annie (Rival vazio),0.636,0.0
Exit,,Sair,Sortie,Sair,Online,0.579,0.599
<Hitbox Down: 1>,,<Hitbox para baixo: 1>,<Hitbox Down: 1>,<Hitbox Down: 1>,Annie,0.617,0.615
You haven't stepped outside of your room for a very long time.,,Você não sai do seu quarto há muito tempo.,,Você não sai do seu quarto há muito tempo.,Online (Annie falhou),0.0,0.664
You only ever go here to pick up takeout.,,Você só vai aqui para pegar comida.,Ustedes sólo vienen aquí para recoger comidas de take out.,Você só vai aqui para pegar comida.,Online,0.654,0.665
"At the rate you're going, you'll never make it here.",,"No ritmo que você está indo, você nunca conseguirá chegar aqui.","Al ritmo que vas, nunca conseguirás llegar aquí.","Al ritmo que vas, nunca conseguirás llegar aquí.",Annie,0.67,0.663
Wall,,Parede,Mura,Parede,Online,0.587,0.593
<Hitbox Down: 1><Hitbox Right: 2><Click Trigger>,,,<Hitbox Down: 1><Hitbox Dright: 2><Click Trigger>,<Hitbox Down: 1><Hitbox Dright: 2><Click Trigger>,Annie (Rival vazio),0.641,0.0
You've been meaning to call someone to fix this.,,Você queria ligar para alguém para consertar isso.,Você a querido llamar a alguien para arreglar esto.,Você queria ligar para alguém para consertar isso.,Online,0.662,0.675
"Alas, the stench of rotting wood is nothing for you! Not when you live with the flies!",,"Infelizmente, o fedor de madeira podre não é nada para você!Não quando você vive com as moscas!",,"Infelizmente, o fedor de madeira podre não é nada para você!Não quando você vive com as moscas!",Online (Annie falhou),0.0,0.665
You're just waiting for the day for that wall to completely fall apart.,,Você está apenas esperando o dia em que aquela parede desmorone completamente.,,Você está apenas esperando o dia em que aquela parede desmorone completamente.,Online (Annie falhou),0.0,0.678
The wall looks a tad bit moldier than usual.,,A parede parece um pouco mais mofada do que o normal.,La pared parece un poco más mofada que de costumbre.,La pared parece un poco más mofada que de costumbre.,Annie,0.672,0.672
You can't even smell the rotting wood anymore.,,Você não consegue mais sentir o cheiro da madeira podre.,,Você não consegue mais sentir o cheiro da madeira podre.,Online (Annie falhou),0.0,0.683
You just smell your room.,,Você apenas sente o cheiro do seu quarto.,,Você apenas sente o cheiro do seu quarto.,Online (Annie falhou),0.0,0.668
Coffee,,Café,Café,Café,Annie,0.658,0.658
You haven't bothered to clean that up.,,Você não se preocupou em limpar isso.,No se ha molestado en limpiar eso.,Você não se preocupou em limpar isso.,Online,0.63,0.661
Too much of a hassle when you already live in filth.,,É muito incômodo quando você já vive na sujeira.,,É muito incômodo quando você já vive na sujeira.,Online (Annie falhou),0.0,0.661
Napkin,,Guardanapo,cuna,Guardanapo,Online,0.546,0.575
Looks like the floor has become your trash bin for tissues!,,Parece que o chão virou sua lixeira para lenços de papel!,,Parece que o chão virou sua lixeira para lenços de papel!,Online (Annie falhou),0.0,0.672
Box,,Caixa,Caixa,Caixa,Annie,0.674,0.674
"<Click Trigger><Sprite Offset: +0, +16>",,,"<Click Trigger><Sprite Offset: +0, +16>","<Click Trigger><Sprite Offset: +0, +16>",Annie (Rival vazio),0.628,0.0
"Even though you've lived in this dorm for some time, you never finished unpacking.",,"Mesmo que você já more neste dormitório há algum tempo, você nunca terminou de desfazer as malas.","A pesar de que vives en este dormitorio desde hace algún tiempo, nunca acabas de desempacotar.","A pesar de que vives en este dormitorio desde hace algún tiempo, nunca acabas de desempacotar.",Annie,0.676,0.666
Looks like it's gonna stay that way.,,Parece que vai continuar assim.,Parece que continuará así.,Parece que continuará así.,Annie,0.677,0.662
You know that the stuff in this box is from your past life.,,Você sabe que as coisas nesta caixa são de sua vida passada.,,Você sabe que as coisas nesta caixa são de sua vida passada.,Online (Annie falhou),0.0,0.68
It almost makes you sad that the final remnant of it is being left in this rotting dormitory with you.,,Quase te deixa triste que o resto final esteja sendo deixado neste dormitório apodrecido com você.,,Quase te deixa triste que o resto final esteja sendo deixado neste dormitório apodrecido com você.,Online (Annie falhou),0.0,0.652
Bed,,Cama,Cama,Cama,Annie,0.587,0.587
<Hitbox Right: 4><Click Trigger>,,,<Hitbox Droite: 4><Click Trigger>,<Hitbox Droite: 4><Click Trigger>,Annie (Rival vazio),0.634,0.0
"Your lovely, food-stained bed!",,Sua linda cama manchada de comida!,Su encantadora cama manchada de comida!,Su encantadora cama manchada de comida!,Annie,0.633,0.613
It's more of a home to you than this dorm!,,É mais um lar para você do que este dormitório!,,É mais um lar para você do que este dormitório!,Online (Annie falhou),0.0,0.636
"...Looking closer into the crevice between the mattress and the wall, there's something... weird?",,"...Olhando mais de perto na fenda entre o colchão e a parede, tem algo... estranho?",,"...Olhando mais de perto na fenda entre o colchão e a parede, tem algo... estranho?",Online (Annie falhou),0.0,0.676
Your very food-stained bed.,,Sua cama muito manchada de comida.,Su cama manchada de comida.,Sua cama muito manchada de comida.,Online,0.598,0.639
Laying here for so long has left a massive indentation in the bed.,,Ficar deitado aqui por tanto tempo deixou uma marca enorme na cama.,Deitar aqui por tanto tempo deixou uma indentação maciça na cama.,Ficar deitado aqui por tanto tempo deixou uma marca enorme na cama.,Online,0.658,0.662
You feel almost embarrassed by it.,,Você se sente quase envergonhado por isso.,Se siente casi avergonzado por ello.,Você se sente quase envergonhado por isso.,Online,0.65,0.664
But you know that no one comes here anyways!,,Mas você sabe que ninguém vem aqui de qualquer maneira!,,Mas você sabe que ninguém vem aqui de qualquer maneira!,Online (Annie falhou),0.0,0.677
You feel tethered to the bed by now.,,Você se sente amarrado à cama agora.,,Você se sente amarrado à cama agora.,Online (Annie falhou),0.0,0.663
You've been here for so long... why bother leaving?,,Você está aqui há tanto tempo... por que se preocupar em ir embora?,Você está aquí há tanto tiempo... por que se importa de partir?,Você está aqui há tanto tempo... por que se preocupar em ir embora?,Online,0.676,0.677
Alice_stand,,Alice_stand,Alice_stand,Alice_stand,Annie,0.653,0.653
"<Sprite Offset: +32, +0>",,,"<Sprite Offset: +32, +0>","<Sprite Offset: +32, +0>",Annie (Rival vazio),0.627,0.0
Rot,,Podridão,Rote,Rote,Annie,0.655,0.572
"<Click Trigger><Sprite Offset: +0, +4>",,,"<Click Trigger><Sprite Offset: +0, +4>","<Click Trigger><Sprite Offset: +0, +4>",Annie (Rival vazio),0.636,0.0
"---Alice discovers rot---
BEAT 3",,"---Alice descobre podridão---
BATIDA 3",---Alice découvre putrefaça----BAT 3,"---Alice descobre podridão---
BATIDA 3",Online,0.606,0.629
\F[alice_neutral]\AA[F]Huh? What's this?,,\F[alice_neutral]\AA[F]Eh?O que é isso?,,\F[alice_neutral]\AA[F]Eh?O que é isso?,Online (Annie falhou),0.0,0.658
\F[alice_neutral]\AA[N]You can't discern what it is. Maybe it's a plant of some kind?,,\F[alice_neutral]\AA[N]Você não consegue discernir o que é.Talvez seja algum tipo de planta?,,\F[alice_neutral]\AA[N]Você não consegue discernir o que é.Talvez seja algum tipo de planta?,Online (Annie falhou),0.0,0.676
\F[alice_neutral]\AA[N]You don't know what it would be living off of.,,\F[alice_neutral]\AA[N]Você não sabe do que seria viver.,,\F[alice_neutral]\AA[N]Você não sabe do que seria viver.,Online (Annie falhou),0.0,0.633
\F[alice_neutral]\AA[N]Maybe off of the food scraps under your bed?,,\F[alice_neutral]\AA[N]Talvez dos restos de comida debaixo da sua cama?,,\F[alice_neutral]\AA[N]Talvez dos restos de comida debaixo da sua cama?,Online (Annie falhou),0.0,0.636
\F[alice_neutral]\AA[N]Maybe off of the decaying wood?,,\F[alice_neutral]\AA[N]Talvez da madeira em decomposição?,,\F[alice_neutral]\AA[N]Talvez da madeira em decomposição?,Online (Annie falhou),0.0,0.607
"\F[alice_no]\AA[F]No use in wondering about it, though.",,"\F[alice_no]\AA[F]No entanto, não adianta ficar pensando sobre isso.",,"\F[alice_no]\AA[F]No entanto, não adianta ficar pensando sobre isso.",Online (Annie falhou),0.0,0.663
\F[alice_nap]\AA[F]...No use in wondering about anything now.,,\F[alice_nap]\AA[F]...Não adianta ficar pensando em nada agora.,,\F[alice_nap]\AA[F]...Não adianta ficar pensando em nada agora.,Online (Annie falhou),0.0,0.657
"You lay back down in bed, stomach completely empty.",,"Você se deita na cama, com o estômago completamente vazio.",,"Você se deita na cama, com o estômago completamente vazio.",Online (Annie falhou),0.0,0.669
"As the days go on and on, you feel like your head's becoming more empty.",,"Com o passar dos dias, você sente que sua cabeça fica mais vazia.",,"Com o passar dos dias, você sente que sua cabeça fica mais vazia.",Online (Annie falhou),0.0,0.679
"You can remember how when you were younger, the lives of you and your sister were filled with joy and whimsy...",,"Você pode se lembrar de como, quando era mais jovem, a vida sua e da sua irmã era cheia de alegria e capricho...",,"Você pode se lembrar de como, quando era mais jovem, a vida sua e da sua irmã era cheia de alegria e capricho...",Online (Annie falhou),0.0,0.679
"(As much as you can get in Libretto City, at least!)",,"(Tanto quanto você conseguir em Libretto City, pelo menos!)",(Al menos tanto como se puede conseguir en Libretto City!),(Al menos tanto como se puede conseguir en Libretto City!),Annie,0.659,0.656
You know that your sister's off being productive. Working in forensics of some kind.,,Você sabe que sua irmã está sendo produtiva.Trabalhando em algum tipo de perícia.,"Tu sabes que tu hermana está fuera de ser productiva, trabajando en forenses de algún tipo.","Tu sabes que tu hermana está fuera de ser productiva, trabajando en forenses de algún tipo.",Annie,0.666,0.654
"Heck, she's probably working on Emma Greenwood's case right as you rot!",,"Caramba, ela provavelmente está trabalhando no caso de Emma Greenwood enquanto você apodrece!",,"Caramba, ela provavelmente está trabalhando no caso de Emma Greenwood enquanto você apodrece!",Online (Annie falhou),0.0,0.654
...How would she feel if she saw me like this?,,...Como ela se sentiria se me visse assim?,...como se sentiría si me visse así?,...como se sentiría si me visse así?,Annie,0.645,0.638
Everyone in my family thinks I'm off getting some psychology degree.,,Todos na minha família pensam que estou me formando em psicologia.,,Todos na minha família pensam que estou me formando em psicologia.,Online (Annie falhou),0.0,0.667
They all think I'm actually doing something with my life...,,Todos pensam que estou realmente fazendo algo com a minha vida...,,Todos pensam que estou realmente fazendo algo com a minha vida...,Online (Annie falhou),0.0,0.681
When I'm just... rotting.,,Quando estou... apodrecendo.,Quando estou... apodrecendo.,Quando estou... apodrecendo.,Annie,0.59,0.59
That's the best word for it.,,Essa é a melhor palavra para isso.,É a melhor palavra para ello.,Essa é a melhor palavra para isso.,Online,0.634,0.678
I used to be something. Someone. Now I'm just some husk...,,Eu costumava ser alguma coisa.Alguém.Agora sou apenas uma casca...,"Antes era algo, alguien, ahora soy apenas una cascada...",Eu costumava ser alguma coisa.Alguém.Agora sou apenas uma casca...,Online,0.648,0.649
"...You remember when Emma came to check up on you, she asked if anything had happened.",,"...Você se lembra quando Emma veio ver você, ela perguntou se alguma coisa tinha acontecido.",,"...Você se lembra quando Emma veio ver você, ela perguntou se alguma coisa tinha acontecido.",Online (Annie falhou),0.0,0.688
"You tried to pinpoint what happened. You're still trying, to be quite frank.",,"Você tentou identificar o que aconteceu.Você ainda está tentando, para ser franco.","Vous avez tentado de localizar lo qu'est acontecido, você está todavía tentando, para ser franca.","Você tentou identificar o que aconteceu.Você ainda está tentando, para ser franco.",Online,0.661,0.682
"At least if something did happen to you, this state of your life would be justified, right?",,"Pelo menos se algo acontecesse com você, esse estado da sua vida seria justificado, certo?","Al menos si algo te sucediera, este estado de tu vida sería justificado, certo?","Al menos si algo te sucediera, este estado de tu vida sería justificado, certo?",Annie,0.686,0.685
Maybe it wasn't a single bad thing that happened.,,Talvez não tenha sido uma única coisa ruim que aconteceu.,Peut-être que no acontecia nada malo.,Talvez não tenha sido uma única coisa ruim que aconteceu.,Online,0.637,0.682
Maybe it was a bunch of smaller things piling up.,,Talvez fosse um monte de coisas menores se acumulando.,Peut-être que era un puñado de coisas menores apilando.,Talvez fosse um monte de coisas menores se acumulando.,Online,0.644,0.662
"Even though you've spent the better part of the day sleeping, you're too tired to think.",,"Mesmo que você tenha passado a maior parte do dia dormindo, você está cansado demais para pensar.",,"Mesmo que você tenha passado a maior parte do dia dormindo, você está cansado demais para pensar.",Online (Annie falhou),0.0,0.68
You just want rest.,,Você só quer descansar.,Usted sólo quiere descansar.,Você só quer descansar.,Online,0.671,0.691
It's been long overdue.,,Já faz muito tempo.,Faz muito tempo que está atrasado.,Faz muito tempo que está atrasado.,Annie,0.638,0.598
"When you wake up, the sun is blaring on you, and your little plant friend.",,"Quando você acorda, o sol está brilhando sobre você e sua amiguinha planta.",,"Quando você acorda, o sol está brilhando sobre você e sua amiguinha planta.",Online (Annie falhou),0.0,0.672
\F[alice_lemmesleep]\AA[F]Ngh... why's there so much sunlight out there?,,\F[alice_lemmesleep]\AA[F]Ngh... por que há tanta luz solar lá fora?,,\F[alice_lemmesleep]\AA[F]Ngh... por que há tanta luz solar lá fora?,Online (Annie falhou),0.0,0.65
"\F[alice_no]\AA[F]Libretto City is usually all dark and gloomy, why's it all bright now of all times?",,"\F[alice_no]\AA[F]Libretto City geralmente é escura e sombria, por que está tão clara agora?",,"\F[alice_no]\AA[F]Libretto City geralmente é escura e sombria, por que está tão clara agora?",Online (Annie falhou),0.0,0.643
"\F[alice_no]\AA[N]Sometimes, you like to think that it's sunny because you're not out there.",,\F[alice_no]\AA[N]Às vezes você gosta de pensar que está ensolarado porque você não está lá fora.,,\F[alice_no]\AA[N]Às vezes você gosta de pensar que está ensolarado porque você não está lá fora.,Online (Annie falhou),0.0,0.657
\F[alice_no]\AA[N]Self aggrandizing? Fuck yeah.,,"\F[alice_no]\AA[N]Auto engrandecedor?Porra, sim.",,"\F[alice_no]\AA[N]Auto engrandecedor?Porra, sim.",Online (Annie falhou),0.0,0.596
"\F[alice_no]\AA[N]Funny? Hell yeah. At least, it's funny in your mind.",,"\F[alice_no]\AA[N]Engraçado?Claro que sim.Pelo menos, é engraçado em sua mente.",,"\F[alice_no]\AA[N]Engraçado?Claro que sim.Pelo menos, é engraçado em sua mente.",Online (Annie falhou),0.0,0.643
\F[alice_depressed]\AA[F]...Seeing the sun out reminds me that everyone's out there doing stuff.,,\F[alice_depressed]\AA[F]...Ver o sol me lembra que todo mundo está fazendo coisas.,,\F[alice_depressed]\AA[F]...Ver o sol me lembra que todo mundo está fazendo coisas.,Online (Annie falhou),0.0,0.67
"\F[alice_no]\AA[F]At least in the night, people are doing what I do, for the most part.",,"\F[alice_no]\AA[F]Pelo menos à noite, a maior parte das pessoas estão fazendo o que eu faço.",,"\F[alice_no]\AA[F]Pelo menos à noite, a maior parte das pessoas estão fazendo o que eu faço.",Online (Annie falhou),0.0,0.662
"\F[alice_drool]\AA[F]Eating, watching TV, and sleeping.",,"\F[alice_drool]\AA[F]Comer, assistir TV e dormir.",,"\F[alice_drool]\AA[F]Comer, assistir TV e dormir.",Online (Annie falhou),0.0,0.623
\F[alice_sleep]\AA[F]...,,\F[alice_sleep]\AA[F]...,,\F[alice_sleep]\AA[F]...,Online (Annie falhou),0.0,0.615
\F[alice_depressed]\AA[F]...But I know that's not true when the sun is shining.,,\F[alice_depressed]\AA[F]...Mas eu sei que isso não é verdade quando o sol está brilhando.,,\F[alice_depressed]\AA[F]...Mas eu sei que isso não é verdade quando o sol está brilhando.,Online (Annie falhou),0.0,0.661
You lay back down. Again.,,Você se deitou.De novo.,Deite-se de nuevo.,Você se deitou.De novo.,Online,0.611,0.658
You truly hate being reminded of what you could be doing instead of laying in bed all day.,,"Você realmente odeia ser lembrado do que poderia estar fazendo, em vez de ficar deitado na cama o dia todo.",,"Você realmente odeia ser lembrado do que poderia estar fazendo, em vez de ficar deitado na cama o dia todo.",Online (Annie falhou),0.0,0.679
You know it's your fault that you're like this.,,Você sabe que é sua culpa ser assim.,Sabes que tu culpa es tuya por ser así.,Você sabe que é sua culpa ser assim.,Online,0.638,0.67
"You struggle to sleep through the day, lost in thought.",,"Você luta para dormir durante o dia, perdido em pensamentos.",,"Você luta para dormir durante o dia, perdido em pensamentos.",Online (Annie falhou),0.0,0.665
I know that some people out there feel the exact way that I do.,,Eu sei que algumas pessoas por aí se sentem exatamente da mesma maneira que eu.,,Eu sei que algumas pessoas por aí se sentem exatamente da mesma maneira que eu.,Online (Annie falhou),0.0,0.679
But it manifests so differently for people...,,Mas isso se manifesta de maneira tão diferente para as pessoas...,,Mas isso se manifesta de maneira tão diferente para as pessoas...,Online (Annie falhou),0.0,0.685
Some people just turn to alcohol...,,Algumas pessoas simplesmente recorrem ao álcool...,Certaines personas se vuelven alcohólicas...,Algumas pessoas simplesmente recorrem ao álcool...,Online,0.684,0.69
Some turn to adrenaline hunting...,,Alguns recorrem à caça à adrenalina...,,Alguns recorrem à caça à adrenalina...,Online (Annie falhou),0.0,0.682
Some throw themselves into their work and become even more productive...,,Alguns se dedicam ao trabalho e se tornam ainda mais produtivos...,,Alguns se dedicam ao trabalho e se tornam ainda mais produtivos...,Online (Annie falhou),0.0,0.68
I think that any of those people are more productive than I am.,,Acho que qualquer uma dessas pessoas é mais produtiva do que eu.,Penso que cualquiera de esas personas es más productiva que yo.,Penso que cualquiera de esas personas es más productiva que yo.,Annie,0.687,0.677
Even the alcoholic and adrenaline junkie.,,Até mesmo o alcoólatra e viciado em adrenalina.,,Até mesmo o alcoólatra e viciado em adrenalina.,Online (Annie falhou),0.0,0.678
Because at least they're putting themselves out into the world...,,Porque pelo menos eles estão se expondo ao mundo...,Porque al menos se están poniendo al mundo...,Porque pelo menos eles estão se expondo ao mundo...,Online,0.63,0.674
Why do my feelings manifest in this way?,,Por que meus sentimentos se manifestam dessa maneira?,Por qué mis sentimientos se manifiestan de esta forma?,Por qué mis sentimientos se manifiestan de esta forma?,Annie,0.694,0.69
Night falls yet again!,,A noite cai mais uma vez!,La nuit cae de novo!,La nuit cae de novo!,Annie,0.658,0.652
Just like every. Single. Night.,,Assim como todos.Solteiro.Noite.,"Como cada uno, solteiro, solteiro, noite.","Como cada uno, solteiro, solteiro, noite.",Annie,0.625,0.621
Do you know how insanity is defined?,,Você sabe como se define a insanidade?,,Você sabe como se define a insanidade?,Online (Annie falhou),0.0,0.69
"You really should, considering that you barely survived 1 semester of university!",,"Você realmente deveria, considerando que mal sobreviveu a 1 semestre de universidade!","Realmente deberías, considerando que apenas has sobrevivido a 1 semestre de universidade!","Realmente deberías, considerando que apenas has sobrevivido a 1 semestre de universidade!",Annie,0.672,0.647
\F[alice_no]\AA[F]...,,\F[alice_no]\AA[F]...,,\F[alice_no]\AA[F]...,Online (Annie falhou),0.0,0.615
"\F[alice_no]\AA[N]No answer? Ah, shucks.",,"\F[alice_no]\AA[N]Sem resposta?Ah, que merda.",,"\F[alice_no]\AA[N]Sem resposta?Ah, que merda.",Online (Annie falhou),0.0,0.614
\F[alice_no]\AA[N]Explains why you stopped attending class.,,\F[alice_no]\AA[N]Explica por que você parou de frequentar as aulas.,,\F[alice_no]\AA[N]Explica por que você parou de frequentar as aulas.,Online (Annie falhou),0.0,0.673
"\F[alice_no]\AA[N]Insanity is when you do the same thing over and over again, expecting a different result.",,"\F[alice_no]\AA[N]Insanidade é quando você faz a mesma coisa repetidamente, esperando um resultado diferente.",,"\F[alice_no]\AA[N]Insanidade é quando você faz a mesma coisa repetidamente, esperando um resultado diferente.",Online (Annie falhou),0.0,0.675
\F[alice_no]\AA[N]That's exactly what you're doing!,,\F[alice_no]\AA[N]Isso é exatamente o que você está fazendo!,,\F[alice_no]\AA[N]Isso é exatamente o que você está fazendo!,Online (Annie falhou),0.0,0.661
\F[alice_depressed]\AA[F]...The thing is that I know nothing's gonna change.,,\F[alice_depressed]\AA[F]...Acontece que sei que nada vai mudar.,,\F[alice_depressed]\AA[F]...Acontece que sei que nada vai mudar.,Online (Annie falhou),0.0,0.652
"\F[alice_no]\AA[F]No shit, it isn't. I know that every single day is the same.",,"\F[alice_no]\AA[F]Não, merda, não é.Eu sei que todos os dias são iguais.",,"\F[alice_no]\AA[F]Não, merda, não é.Eu sei que todos os dias são iguais.",Online (Annie falhou),0.0,0.669
"\F[alice_depressed]\AA[F]...But how different am I compared to other people, then?",,"\F[alice_depressed]\AA[F]...Mas quão diferente eu sou em comparação com outras pessoas, então?",,"\F[alice_depressed]\AA[F]...Mas quão diferente eu sou em comparação com outras pessoas, então?",Online (Annie falhou),0.0,0.674
